prec1_train,prec1_val,prec5_train,prec5_val,loss_train,loss_val
98.31756,100.00000,98.31756,100.00000,0.8948362248114357,0.540956602962793
100.00000,100.00000,100.00000,100.00000,0.34783663120430225,0.35708641717384376
100.00000,100.00000,100.00000,100.00000,0.2275127765539442,0.20548377132547493
100.00000,100.00000,100.00000,100.00000,0.17821628698289832,0.20089016759499095
100.00000,100.00000,100.00000,100.00000,0.12908050546385388,0.16783416867099352
100.00000,100.00000,100.00000,100.00000,0.10347498089983886,0.1986237922092859
100.00000,100.00000,100.00000,100.00000,0.0834986058491763,0.10477195731693743
100.00000,100.00000,100.00000,100.00000,0.06336968684359429,0.124020319922061
100.00000,100.00000,100.00000,100.00000,0.054454399866260564,0.0995576556343698
100.00000,100.00000,100.00000,100.00000,0.047294419489949786,0.056397715661360134
100.00000,100.00000,100.00000,100.00000,0.04235571920558356,0.05150432974860656
100.00000,100.00000,100.00000,100.00000,0.03383002552026579,0.06099427286001357
100.00000,100.00000,100.00000,100.00000,0.02801276605525353,0.0420565758507147
100.00000,100.00000,100.00000,100.00000,0.025319781828158534,0.048119110465677
100.00000,100.00000,100.00000,100.00000,0.026520976336471165,0.04838861276902076
100.00000,100.00000,100.00000,100.00000,0.023148449699930088,0.03972109614473774
100.00000,100.00000,100.00000,100.00000,0.02045530096464227,0.039110091785142936
100.00000,100.00000,100.00000,100.00000,0.017394215732295805,0.039674591496037956
100.00000,100.00000,100.00000,100.00000,0.01703648970361513,0.03577708446814477
100.00000,100.00000,100.00000,100.00000,0.01532592577614932,0.030067385106463396
100.00000,100.00000,100.00000,100.00000,0.013183685840273004,0.03170169652943171
100.00000,100.00000,100.00000,100.00000,0.01301033476212862,0.031115124713393283
100.00000,100.00000,100.00000,100.00000,0.011188442185207747,0.03219731751745099
100.00000,100.00000,100.00000,100.00000,0.011118850465100083,0.03617472421712105
100.00000,100.00000,100.00000,100.00000,0.010930805160545525,0.022643414986342137
100.00000,100.00000,100.00000,100.00000,0.00964589669152734,0.0313356861078137
100.00000,100.00000,100.00000,100.00000,0.008891969602888001,0.02979276467078424
100.00000,100.00000,100.00000,100.00000,0.008982142683247851,0.029703895195336585
100.00000,100.00000,100.00000,100.00000,0.009228393769422477,0.07864366526259965
100.00000,100.00000,100.00000,100.00000,0.007984986846050254,0.07205408349950763
100.00000,100.00000,100.00000,100.00000,0.0037696113595474595,0.02216847449241187
100.00000,100.00000,100.00000,100.00000,0.004124368368584337,0.020173020549086665
100.00000,100.00000,100.00000,100.00000,0.003847164666470136,0.018771176259147315
100.00000,100.00000,100.00000,100.00000,0.0032284037135619785,0.0128032653221321
100.00000,100.00000,100.00000,100.00000,0.002833408884288886,0.012316382527157813
100.00000,100.00000,100.00000,100.00000,0.0028831881065054803,0.017017860645739475
100.00000,100.00000,100.00000,100.00000,0.003212989982683701,0.028800000052412022
100.00000,100.00000,100.00000,100.00000,0.0031225530900253077,0.013346270512717452
100.00000,100.00000,100.00000,100.00000,0.0029081915290761822,0.011533737505064045
100.00000,100.00000,100.00000,100.00000,0.0029202036938574226,0.015228880583549983
100.00000,100.00000,100.00000,100.00000,0.0036914281808544972,0.0127280279442715
100.00000,100.00000,100.00000,100.00000,0.0036448285499730633,0.012758767700287832
100.00000,100.00000,100.00000,100.00000,0.0032528448104662535,0.011599224000008788
100.00000,100.00000,100.00000,100.00000,0.002790645836019099,0.011862423610784089
100.00000,100.00000,100.00000,100.00000,0.0027429107165299004,0.017924121835716685
100.00000,100.00000,100.00000,100.00000,0.002549747572614411,0.01129133838381529
100.00000,100.00000,100.00000,100.00000,0.0027777079059952943,0.010363512573250655
100.00000,100.00000,100.00000,100.00000,0.0025187419623637925,0.017173281918928886
100.00000,100.00000,100.00000,100.00000,0.0024050786385173615,0.008223883097099963
100.00000,100.00000,100.00000,100.00000,0.0026661341563826886,0.01142330730883505
100.00000,100.00000,100.00000,100.00000,0.002679993974321084,0.013140025889521557
100.00000,100.00000,100.00000,100.00000,0.002688710715378841,0.011916413952240471
100.00000,100.00000,100.00000,100.00000,0.0023948808230526285,0.010006229899702625
100.00000,100.00000,100.00000,100.00000,0.002379068995108113,0.011088487399745437
100.00000,100.00000,100.00000,100.00000,0.0024218058853080157,0.010899675047756225
100.00000,100.00000,100.00000,100.00000,0.0023497321995976064,0.006940828675063123
100.00000,100.00000,100.00000,100.00000,0.0027644903341271024,0.009237536541104192
100.00000,100.00000,100.00000,100.00000,0.0029880096793143407,0.008334514781451934
100.00000,100.00000,100.00000,100.00000,0.002463843340502678,0.012079522047293297
100.00000,100.00000,100.00000,100.00000,0.002072030935949645,0.014466167444077053
100.00000,100.00000,100.00000,100.00000,0.0017708446678718244,0.010260779851147357
100.00000,100.00000,100.00000,100.00000,0.0016099475158895557,0.00848333027660484
100.00000,100.00000,100.00000,100.00000,0.0016289692311856178,0.00968741979503892
100.00000,100.00000,100.00000,100.00000,0.0016644454076905763,0.007573454540102333
100.00000,100.00000,100.00000,100.00000,0.0017042813169428164,0.014295490679616083
100.00000,100.00000,100.00000,100.00000,0.0016635494915323897,0.01203727262377983
100.00000,100.00000,100.00000,100.00000,0.001643738839883048,0.013038270284491083
100.00000,100.00000,100.00000,100.00000,0.0016677366951813473,0.008143992677661258
100.00000,100.00000,100.00000,100.00000,0.00164294937164273,0.009527098623801966
100.00000,100.00000,100.00000,100.00000,0.0015788453726095983,0.011488527823712454
100.00000,100.00000,100.00000,100.00000,0.001639652240739354,0.008343015638540502
100.00000,100.00000,100.00000,100.00000,0.0015335274083181417,0.013487011243110698
100.00000,100.00000,100.00000,100.00000,0.0015385729798383142,0.016885122984561504
100.00000,100.00000,100.00000,100.00000,0.0015888808605571587,0.014970655683271236
100.00000,100.00000,100.00000,100.00000,0.0014715842140268546,0.01344290783864531
100.00000,100.00000,100.00000,100.00000,0.0014951382715942497,0.01170323984780768
100.00000,100.00000,100.00000,100.00000,0.001541573421336264,0.007588265898131016
100.00000,100.00000,100.00000,100.00000,0.0014830532706059617,0.01139909154200136
100.00000,100.00000,100.00000,100.00000,0.0015709843350913215,0.012540432187096186
100.00000,100.00000,100.00000,100.00000,0.0015167305084409586,0.005799594054342108
100.00000,100.00000,100.00000,100.00000,0.0014767259193856571,0.011019039646678518
100.00000,100.00000,100.00000,100.00000,0.0014711674652919252,0.01298739601532328
100.00000,100.00000,100.00000,100.00000,0.0016086577330338921,0.012497101167755452
100.00000,100.00000,100.00000,100.00000,0.001505930653036808,0.008906595305334096
100.00000,100.00000,100.00000,100.00000,0.0015272567478095726,0.01280122462634837
100.00000,100.00000,100.00000,100.00000,0.0014439300352660498,0.013485546415670235
100.00000,100.00000,100.00000,100.00000,0.0013671608178530644,0.010881016205852204
100.00000,100.00000,100.00000,100.00000,0.001354579862866249,0.016458940636381307
100.00000,100.00000,100.00000,100.00000,0.0014274054277662804,0.010535963274263115
100.00000,100.00000,100.00000,100.00000,0.0013519604597338618,0.013367805306970489
